Sample_ID,IGSN,Material,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,Fe2O3T,FeO,FeOT,NiO,MnO,MgO,CaO,SrO,Na2O,K2O,P2O5,BaO,LOI,H2O,H2OM,H2OP,SO2,SO3,V2O5,ZnO,Fe,Mn,FeS2,S,S_(SLFI),C_(non-carb),TOC,Latitude,Longitute,Elevation,Tectonic,Rock,Reference,Method,Expedition,Analysis_Comment
*23-003-005-VG1585, ,GL,50.21,1.64,15.57,,,,,10.31,,,6.95,10.66,,3.22,0.19,0.16,,,,,,,,,,,,,,,,,5.05,62.08,-3400,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*28-022-005-VG1584, ,GL,49.98,1.58,15.61,,,,,10.84,,,7.38,10.7,,3.03,0.04,0.14,,,,,,,,,,,,,,,,,-5.35,68.7,-4000,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*28-022-VG3098, ,GL,51.53,1.6,15.68,,,,,10.77,,,7.29,10.34,,2.99,0.06,0.16,,,,,,,,,,,,,,,,,-5.35,68.7,-4000,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*28-022-VG3098, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,11.37,1656,,,,,,-5.35,68.7,-4000,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","JENNER, 2012",LA-ICPMS,UNKNOWN , 
*28-022-VG5908, ,GL,49.51,1.62,15.86,,,,,10.81,,,7.46,10.62,,2.96,0.07,0.15,,,,,,,,,,,,,,,,,-5.35,68.7,-4000,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*28-T013-001-VG1582, ,GL,51.31,1.39,14.99,,,,,9.27,,,6.78,11.64,,2.74,0.2,0.1,,,,,,,,,,,,,,,,,5.52,68.53,-5000,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*432-002-VG1580, ,GL,51.97,1.25,14.28,,,,,11.57,,,7.02,11.67,,2.12,0.07,0.09,,,,,,,,,,,,,,,,,40.42,-29.54,-2500,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*441-005-001-VG1576, ,GL,50.21,1.46,16.41,,,,,10.39,,,7.46,11.27,,2.94,0.07,0.15,,,,,,,,,,,,,,,,,29.71,-42.65,-2200,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*441-T001-001-VG1578, ,GL,50.08,1.93,15.6,,,,,11.62,,,7.66,10.69,,2.92,0.34,0.23,,,,,,,,,,,,,,,,,29.86,-42.77,-3020,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*443-007-001-VG1577, ,GL,51.04,1.35,16.4,,,,,9.69,,,7.29,10.82,,2.65,0.13,0.11,,,,,,,,,,,,,,,,,29.81,-42.73,-1100,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*444-001-001-VG1579, ,GL,52.29,0.74,15.06,,,,,8.97,,,8.14,13.19,,1.81,0.04,0.07,,,,,,,,,,,,,,,,,40.55,-29.21,-2560,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*482/1, ,WR,48.66,1.68,15.18,,,11.59,,,,0.2,9.04,11.08,,2.46,0.09,0.15,,,,,,,,,,,,,,,,,2.2,-101.48,-5230,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","SUN, 1979",XRF,UNKNOWN , 
*482/1, ,WR,48.92,1.7,15.02,,2.32,,9.5,,,0.2,8.95,10.48,,2.43,0.17,,,,0.17,,,,,,,,,,,,,,2.2,-101.48,-5230,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","SUN, 1979",WET,UNKNOWN , 
*482/10, ,WR,50.38,1.55,14.52,,,11.19,,,,0.18,7.63,11.56,,2.72,0.08,0.14,,,,,,,,,,,,,,,,,2.22,-101.52,-4500,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","SUN, 1979",XRF,UNKNOWN , 
*482/2, ,WR,49.68,0.95,14.36,,,10.52,,,,0.19,10.03,12.33,,1.94,0.3,0.11,,,,,,,,,,,,,,,,,71.05,-13,-400,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","SUN, 1979",XRF,UNKNOWN , 
*482/2, ,WR,49.73,1,13.94,,1.47,,8.82,,,0.19,9.34,11.84,,1.83,0.22,0.08,,,0.4,,,,,,,,,,,,,,71.05,-13,-400,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","SUN, 1979",WET,UNKNOWN , 
*482/3, ,WR,47.38,0.88,17.75,,,10.66,,,,0.19,9.74,11,,2.87,0.08,0.05,,,,,,,,,,,,,,,,,29.72,-42.65,-2200,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","SUN, 1979",XRF,UNKNOWN , 
