Sample_ID,IGSN,Material,He,He3,He4,He3_He4,He3_He4(R/Ra),He4_Ar40,Ar,Ar36,Ar38,Ar40,Ar40_RG,Ar38_Ar36,Ar36_Ar40,Ar40_Ar36,Ar40_Ar39,Ne,Ne20,Ne22,Ne20_Ne22,Ne21_Ne22,Kr78,Kr82,Kr83,Kr84,Kr86,Kr90,Xe124,Xe126,Xe128,Xe129,Xe130,Xe131,Xe132,Xe134,Xe136,Xe129_Xe132,Xe136_Xe132,U234_ACTIVITY,U238_ACTIVITY,U234_U238_ACTIVITY,U234_U238,U238_Th230,U238_Th232_ACTIVITY,U238_Th232,U238_Pb204,DELTA_U234,Th230_ACTIVITY,Th232_ACTIVITY,Th230_Th232,Th230_Th232_ACTIVITY,Th230_U238_ACTIVITY,Th230_U238,Th232_U238,Th232_Pb204,Th228_Th232,Ra226,Ra226_ACTIVITY,Ra226_Th230,Ra226_Th230_ACTIVITY,Pb210,CO2,F,Cl,N2,Latitude,Longitute,Elevation,Tectonic,Rock,Reference,Method,Expedition,Analysis_Comment
*AQ39C-108, ,GL,,,,,,,1.2843E-06,,,,,,,300.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0885,-4,150,,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","MARTY, 1997",MS,UNKNOWN , 
*ST2-17-10, ,GL,0.00000372,,,,9.4,,7.86E-08,,,,,,,666.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.69,,,0.0102,-18.83,173.48,-2750,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","MARTY, 1999",MS,UNKNOWN , 
*ST2-17-6, ,GL,0.00000093,,,,9.7,,0.000000075,,,,,,,531.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0099,-18.83,173.48,-2750,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","MARTY, 1999",MS,UNKNOWN , 
*ST2-17-7, ,GL,0.00000771,,,,10.3,,3.748E-07,,,,,,,3338.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.05,,,0.1151,-18.83,173.48,-2750,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","MARTY, 1999",MS,UNKNOWN , 
AII0118-14-005-004, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,18.33,144.67,-3814,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","STOLPER, 1994",IR-SP,A118-14 , 
AII0118-14-005-004, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460,,18.33,144.67,-3814,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","STOLPER, 1994",EMP,A118-14 , 
AII0118-14-005-004, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,18.33,144.67,-3814,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","NEWMAN, 2000",FTIR,A118-14 , 
AII0118-14-010-001, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,18.43,144.63,-3950,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","STOLPER, 1994",IR-SP,A118-14 , 
AII0118-14-010-001, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,,18.43,144.63,-3950,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","STOLPER, 1994",EMP,A118-14 , 
AII0118-14-010-001, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,18.43,144.63,-3950,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","NEWMAN, 2000",FTIR,A118-14 , 
AII0118-14-016-002, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,,,,18.1,144.74,-3969,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","STOLPER, 1994",IR-SP,A118-14 , 
